blockNumber,gasUsed
7204867,4199896
7204868,7991032
7204869,7996807
7204870,7981696
7204871,7960573
7204872,5223351
7204873,7982175
7204874,4497615
7204875,7979359
7204876,7984587
7204877,7990186
7204878,7996634
7204879,7988467
7204880,7982645
7204881,4963321
7204882,7996036
7204883,6843605
7204884,2481791
7204885,7003818
7204886,7364868
7204887,7414414
7204888,7992391
7204889,7728372
7204890,1682695
7204891,7954168
7204892,7968426
7204893,7918268
7204894,7988156
7204895,7969588
7204896,7999959
7204897,7999148
7204898,7977145
7204899,7992856
7204900,7990097
7204901,7998149
7204902,4831414
7204903,7996114
7204904,7980966
7204905,7996857
7204906,7831475
7204907,5237485
7204908,6313136
7204909,1005188
7204910,4839197
7204911,4232598
7204912,1324582
7204913,6714698
7204914,6851506
7204915,7935166
7204916,6624511
7204917,7964149
7204918,7999044
7204919,7555232
7204920,2109640
7204921,36811
7204922,7987549
7204923,7997675
7204924,5427067
7204925,7987593
7204926,7920975
7204927,7998463
7204928,6800130
7204929,4626326
7204930,7973298
7204931,3592823
7204932,7978824
7204933,7581165
7204934,4336563
7204935,7490477
7204936,7323012
7204937,5394646
7204938,21000
7204939,6482299
7204940,7994265
7204941,7988119
7204942,2337183
7204943,2656700
7204944,2740221
7204945,7970484
7204946,2425009
7204947,7745218
7204948,7988226
7204949,7709901
7204950,7702133
7204951,3310612
7204952,2701497
7204953,4564161
7204954,7991921
7204955,7997278
7204956,7990777
7204957,7894006
7204958,7988884
7204959,94322
7204960,7746921
7204961,7997562
7204962,7993475
7204963,7984406
7204964,7999921
7204965,7994621
7204966,7992849
7204967,7995501
7204968,7984320
7204969,6046551
7204970,7992677
7204971,7989012
7204972,7997794
7204973,7985933
7204974,7836638
7204975,7985077
7204976,6495648
7204977,7842443
7204978,7759142
7204979,6058590
7204980,6137955
7204981,7610533
7204982,6471570
7204983,7991501
7204984,2718075
7204985,7995436
7204986,7988428
7204987,5382300
7204988,7999585
7204989,1463003
7204990,2188737
7204991,7987561
7204992,7979877
7204993,7999828
7204994,7984968
7204995,7598447
7204996,4881571
7204997,3754500
7204998,198743
7204999,5343750
7205000,6651666
7205001,7971942
7205002,7800027
7205003,7981235
7205004,6027157
7205005,7964271
7205006,7983239
7205007,7995565
7205008,7990341
7205009,7993230
7205010,6453731
7205011,7136919
7205012,5814431
