model,RMLSE
[31],0.896045
"[31, 34]",0.885534
"[31, 34, 23]",0.879363
"[31, 34, 23, 29]",0.873795
"[31, 34, 23, 29, 11]",0.871100
"[31, 34, 23, 29, 11, 25]",0.869056
"[31, 34, 23, 29, 11, 25, 3]",0.867639
"[31, 34, 23, 29, 11, 25, 3, 40]",0.866760
"[31, 34, 23, 29, 11, 25, 3, 40, 50]",0.865488
"[31, 34, 23, 29, 11, 25, 3, 40, 50, 44]",0.865949
"[31, 34, 23, 29, 11, 25, 3, 40, 50, 44, 28]",0.864863
"[31, 34, 23, 29, 11, 25, 3, 40, 50, 44, 28, 33]",0.864821
"[31, 34, 23, 29, 11, 25, 3, 40, 50, 44, 28, 33, 41]",0.864614
"[31, 34, 23, 29, 11, 25, 3, 40, 50, 44, 28, 33, 41, 43]",0.864532
"[31, 34, 23, 29, 11, 25, 3, 40, 50, 44, 28, 33, 41, 43, 15]",0.863962
"[31, 34, 23, 29, 11, 25, 3, 40, 50, 44, 28, 33, 41, 43, 15, 32]",0.863987
"[31, 34, 23, 29, 11, 25, 3, 40, 50, 44, 28, 33, 41, 43, 15, 32, 30]",0.864299
"[31, 34, 23, 29, 11, 25, 3, 40, 50, 44, 28, 33, 41, 43, 15, 32, 30, 48]",0.864039
